project,class
jfreechart,PieSectionEntity
drawswf,AlphaColor
poi,TestShortList
freemind,FocusSearch
jgroups,TokenTest
poi,TestEscherGraphics2d
freecol,ServerPlayerTest
drjava,SExpParseException
jmeter,UnEscapeHtml
xalan,And
oscache,CacheTag
argouml,SelectionUseCase
pmd,Collector
columba,MboxDataStorage
poi,TestOPCCompliancePartName
megamek,ISLaserAMS
jruby,JavaSupport
wct,ProfileDAOImpl
jhotdraw,OpenRecentFileAction
htmlunit,HtmlUnitDOMBuilder
weka,ClassifierPerformanceEvaluatorCustomizer
argouml,ExplorerEventAdaptor
rssowl,FeedViewInput
poi,Vlookup
lucene,CacheEntryImpl
jparse,VarAST
drjava,BooleanOption
fitlibraryforfitnesse,SpreadsheetRunner
exoportal,ForumServiceImpl
findbugs,LiveLocalStoreDataflowFactory
poi,EscherPropertyFactory
tomcat,JMXAccessorUnregisterTask
jhotdraw,PertView
jruby,InnerStructFieldAllocator
argouml,ProfileGoodPractices
jruby,Pre3Rest0Post0Assigner
jchempaint,IPAtomicHOSEDescriptor
pmd,SimpleJavaAccessTypeNode
jasperreports,JRParameterFactory
tomcat,LineNumberTable
tomcat,ServerinfoTask
jsXe,ValidationErrorsAction
weka,NeighborNode
poi,VariantSupport
mvnforum,MemberDAOExternalUserDatabaseAbstract
jgroups,Digest
jasperreports,JRDesignLine
jgraphpad,ToolBoxLine
tapestry,EmbeddedComponentAssemblerImpl
galleon,JabberFactory
roller,CategoryEdit
jchempaint,MM2BasedParameterSetReader
jmeter,ObsoleteGui
drjava,UnremoveCommand
exoportal,SessionMonitor
castor,JDOClassDescriptorFactory
itext,ImgCCITT
roller,BloggerAPIHandler
jena,InfModelImpl
lucene,GeneralAllGroupHeadsCollector
jung,KStepMarkov
jruby,Complex
heritrix,ThreadLocalHttpConnectionManager
jfreechart,StackedXYAreaRendererTests
tomcat,FileItemFactory
lucene,InOrderTopScoreDocCollector
tapestry,ClassFabImplTest
struts,PropertyTagTest
columba,OpenExternalToolsDialogAction
galleon,Alert
poi,BookBoolRecord
weka,TAN
velocity,ArrayMethodsTestCase
joggplayer,FileDrop
xalan,TransformerImpl
argouml,UMLActivityDiagram
exoportal,ContainerUtil
c_jdbc,ReplaceRequestPatternTest
jmoney,PreferencesDialog
jhotdraw,ChopBezierConnector
jfreechart,YIntervalDataItemTests
argouml,FigMultiLineTextWithBold
castor,StringToShort
jasperreports,JRIdHolderTemplateElement
jedit,Words
tapestry,InjectedValue
argouml,UMLOperationSpecificationDocument
exoportal,ExoRequestProcessor
exoportal,ContentConfig
lucene,StandardQueryConfigHandler
jgroups,DiscardHeader
columba,ConnectionStateImpl
jena,AllDifferentImpl
jasperreports,JRDesignMeterPlot
jgroups,ListBucketResponse
jasperreports,SpiderChartComponent
argouml,SetAction
freemind,SignedScriptTests
exoportal,NewPageActionListener
freecol,PreGameController
jag,FileTag
argouml,PersistenceManager
freecol,FreeColDataFile
jmeter,BSFPostProcessor
argouml,ActionAddInstanceClassifier
jgroups,AgeOutCache
jung,Metrics
proguard,SpecificIntegerValue
jmeter,AbstractVisualizer
freecol,Modifier
poi,TestStyleTextPropAtom
marauroa,Result
freecol,ReportHistoryPanel
jspwiki,AttachmentDavProvider
exoportal,AddEditNavActionListener
struts,UITagExample
megamek,ISSniper
velocity,ASTComment
xalan,XMLNSDecl
velocity,MacroEntry
jasml,ParsingException
jasperreports,JRDesignScriptlet
aoi,Texture2D
james,UnsubscribeCommand
jhotdraw,DockingListener
pmd,CommandLineOptionsTest
jchempaint,MolecularFormulaRangeManipulator
freemind,MyRenderer
castor,PartyThree
colt,ObjectFunction
sandmark,McCabeMethodMeasure
galleon,JarClassLoader
jhotdraw,SelectionOpacityIcon
freemind,EditNodeTextField
jruby,RealClassGenerator
castor,SqlClobToCharArray
maven,DefaultPluginDependenciesResolver
exoportal,FacesPortletContextFactoryImpl
openjms,AbstractHTTPConnectionFactory
itext,Iterator
megamek,InternalStructureType
lucene,TermsHash
freecol,Feature
exoportal,StringInputRenderer
checkstyle,InputInvalidBlockIndent
struts,Template
columba,SelectFolderDialog
drjava,XMLProjectFileParserTest
columba,SizeRenderer
jasperreports,JRDocxSaveContributor
drjava,JPDAStackData
jena,ARPString
struts,PageInfo
exoportal,LDAPService
jchempaint,CMLReactionModule
castor,CacheEntry
drjava,BookmarkColorOptionListener
jmeter,JDBCSampler
argouml,UMLExpressionExpressionModel
argouml,ProjectSettingsTabProperties
jasperreports,JRFillPie3DPlot
marauroa,Hash
exoportal,LifecycleWrapper
xalan,UnresolvedRef
xalan,RealType
struts,GxpInstance
maven,DefaultArtifactCollectorTest
megamek,CLERMediumPulseLaser
jruby,EncodingNode
proguard,ParameterNameMarker
poi,GutsRecord
jasperreports,FloatPercentageCalculator
jruby,MethodMissing
jmeter,LdapExtClient
exoportal,ParsingContextFactory
jruby,Node
pmd,ASTSelectionListener
argouml,InitNotation
jfreechart,CategoryPointerAnnotation
argouml,AbstractFigComponent
jena,RandomOrderGraph
aoi,DOFPanel
jgroups,Metronome
argouml,ExpressionBodyField
poi,XSSFRow
wct,AddParentsController
jasperreports,JRBaseParameter
columba,AccountView
argouml,ClassifierNotFoundException
tapestry,ClassFactory
jena,ARP
megamek,ISLB10XAC
megamek,MoveStepModel
argouml,StateDiagramRenderer
quartz,RemotableQuartzScheduler
pmd,SequenceException
jruby,TypePopulator
freecol,TilePanel
jasperreports,JRTimePeriodChartImageMapRenderer
xalan,NameBase
lucene,HyphenationTree
weka,REPTree
galleon,VideocastingOptionsPanel
jruby,StringField
poi,ForkedEvaluationSheet
oscache,StatisticListenerImpl
jfreechart,StandardXYZToolTipGeneratorTests
jgraphpad,java_util_Collection_PersistenceDelegate
itext,PdfXConformanceException
weka,GridVector
marauroa,AccountResult
jedit,DockingLayoutManager
fitlibraryforfitnesse,ParallelFitNesseRepository
velocity,BooleanPropertyExecutor
lucene,SpanMultiTermQueryWrapper
argouml,ProfileReference
poi,HSSFPicture
tapestry,SpringModuleDefTest
jchempaint,BSFormat
columba,Handler
fitlibraryforfitnesse,AccountsRepository
pmd,ASTPrimaryPrefix
tapestry,BridgeBuilderTest
jasperreports,BarbecueCompiler
htmlunit,DoTypeProcessor
hsqldb,SqltoolRB
james,CRLFTerminatedReader
argouml,CollaborationDiagramPropPanelFactory
megamek,TriggerAPPodDialog
jhotdraw,DragWindow
mvnforum,RankListTypeImpl
exoportal,TestPortletModelParser
tomcat,InjectionTarget
ganttproject,CustomPropertiesStructure
jena,RuleDerivation
jpf,ExtendedProperties
tomcat,JspPropertyNotWritableException
velocity,StrictReferenceTestCase
emma,ExceptionCommon
openjms,CallbackServiceImpl
checkstyle,AbstractOptionCheck
fitlibraryforfitnesse,NoSuchPropertyException
jfreechart,ChartProgressEvent
castor,DateToInteger
tomcat,StackMapType
castor,DerbySchemaFactory
megamek,EntityImage
ganttproject,TaskProgressChartItem
castor,InstantDBQueryExpression
exoportal,RecipientImpl
poi,TestRangeReplacement
jpf,PluginPrerequisiteImpl
jasperreports,JRChartPlotFactory
jruby,RubyStruct
weka,ThresholdVisualizePanel
weka,SMOreg
colt,AbstractIntObjectMap
jchempaint,CrossoverMachine
lucene,SingleDocSource
jasperreports,BarcodeEvaluator
pmd,ASTPostfixExpression
pmd,XPathFragmentAddingItem
roller,WeblogUpdatePinger
roller,Templates
itext,BaseFontParameters
pmd,ASTLiteral
lucene,BucketTable
fitlibraryforfitnesse,Vector
jspwiki,CallbackContainer
pmd,ASTForUpdate
jfreechart,DefaultIntervalCategoryDatasetTests
displaytag,TableProperties
megamek,ISLRM20OS
velocity,LinkedUberspector
columba,WorkerStatusChangedEvent
weka,ActivationFunction
megamek,ImageButton
jhotdraw,ColorUtil
columba,ColorMessageCommand
exoportal,GroovyManagerContainer
poi,TestBoundSheetRecord
jena,SlotValuator
jasperreports,ConvertChartContext
exoportal,PortletToTestGetParameterXXXMethods
findbugs,TypeQualifierValueSet
argouml,FigComment
drawswf,Picture
jchempaint,YasaraFormat
tomcat,AstGreaterThan
jpf,StandardPluginLocation
megamek,Renderer
c_jdbc,ResultCacheColumnUnique
jfreechart,FixedMillisecondTests
maven,DefaultProjectDependenciesResolver
megamek,ACBayHandler
jmoney,CanceledException
exoportal,NodeTypeImpl
galleon,ListParser
junit,SpamFilter
checkstyle,InputPublicOnly
tomcat,Cookies
jena,OntResourceImpl
jruby,AttrAssignOneArgNode
jasperreports,JRTemplatePrintElement
jena,WrappedBulkUpdateHandler
jgraphpad,JGParallelEdgeRouter
findbugs,FieldSetAnalysis
castor,PostgresqlGenerator
squirrel_sql,DndHandler
antlr,GrammarUnreachableAltsMessage
lucene,MultiLevelSkipListReader
columba,ExportFolderCommand
itext,RomanDigit
poi,UserEditAndPersistListing
cobertura,PackageMetric
pooka,FolderDisplayPanel
tapestry,FooHolder
megamek,ISThunderBolt10
xmojo,ServiceNotFoundException
proguard,MyViewConfigurationActionListener
lucene,ScriptAttributeImpl
poi,HPBFDocument
megamek,ISThunderBolt15
roller,StartupException
freemind,NewTabProperty
openjms,MultiplexOutputStream
jasperreports,JRVerticalFiller
jext,EvalCommand
poi,SeriesChartGroupIndexRecord
poi,HSSFTextbox
informa,ItemGuid
weka,RefreshCache
findbugs,XMLOutputUtil
jena,Delta
tomcat,AccessDateStruct
jena,NamespaceEndsWithNameCharException
wct,NodeRenderer
heritrix,PathSegment
lucene,ParallelReader
weka,CoverTreeNode
weka,ActionDeleteNode
jruby,Pre1Rest0Post0BlockAssigner
jext,PyActionsReader
struts,SDEInstaller
exoportal,ContainerRowRenderer
megamek,ISThunderBolt20
megamek,InfantryShotgunDoubleBarrelWeapon
megamek,BLKDropshipFile
ganttproject,RoleSetPage
velocity,ASTAssignment
jgraphpad,FormatLineLabelNormal
jruby,YyTables
columba,BackgroundTaskManager
proguard,NonPrivateMemberMarker
tomcat,JspConfig
poi,IntPtg
jmeter,BSFAssertionBeanInfo
jena,PSet_TripleStore_RDB
tomcat,IdentityOutputFilter
htmlunit,Element
jfreechart,DataUtilities
findbugs,FieldMatcher
freecol,GoodsTest
marauroa,MessageS2CCharacterList
sandmark,HomePanel
roller,FileNotFoundException
drawswf,KunststoffPasswordFieldUI
openjms,OpenJMSQueueFolder
jext,ClearCommand
james,ImapHandler
argouml,NodeRow
galleon,Mp3Url
rssowl,HTMLFilterReader
lucene,OutOfOrderOneComparatorScoringMaxScoreCollector
pooka,SelectSMIMEEncrypt
jmeter,MyWrapper
weka,CheckClusterer
megamek,ISTHBUAC2
megamek,CLSRM2IOS
poi,POIFSChunkParser
jparse,IdentifierAST
hsqldb,RowSetNavigatorDataTable
c_jdbc,SingleDB
xalan,ReferenceType
pmd,ClassLoaderUtil
antlr,RuleLabelScope
lucene,Extensions
findbugs,FindBadCast
jfreechart,XYBoxAnnotationTests
tapestry,ContextResource
sandmark,Smash
fitlibraryforfitnesse,CalculateFixtureUnderTest2
fitlibraryforfitnesse,CalculateFixtureUnderTest3
findbugs,Item
tomcat,StackMapEntry
openjms,ConsumerStore
jgraphpad,FormatTextPositionLeft
fitlibraryforfitnesse,Show
tomcat,C2BConverter
argouml,GoInteractionToMessages
jchempaint,IsotopeFactory
velocity,SecureUberspector
jasperreports,JRDesignValueDisplay
mvnforum,CategoryDAOImplJDBC
argouml,FigKeyword
jasperreports,VariableCalculationReq
jasperreports,JRPrintElementFactory
poi,OldPowerPointFormatException
jchempaint,ChiClusterDescriptor
wct,ListTypeRenderer
jgroups,UnicastTestRpcDist
jfreechart,TimeSeriesDataItem
pmd,MockRule
lucene,OpaqueQueryNode
galleon,PodcastingOptionsPanel
columba,IWorkerStatusController
jmeter,SampleResultConverter
jedit,UtilEvalError
junit,ExpectedExceptionStatement
findbugs,AbstractBugReporter
tomcat,SendMessageData
heritrix,EndSegment
drjava,ExecuteExternalDialog
jext,DumpFunction
jung,Box
drawswf,PluginLoader
jgroups,IPCHECK
xmojo,MBeanOperationInfo
jmeter,CLUtil
castor,XSGYearMonth
heritrix,PathologicalPathDecideRule
aoi,NullKeyframe
heritrix,SelfTestCrawlJobHandler
exoportal,XHTMLBuilder
jasperreports,JRThermometerChartFactory
megamek,ISThumper
drjava,ColorOptionComponentTest
drjava,DefinitionsDocument
emma,MethodCollection
jmeter,NumberProperty
tomcat,ParameterParser
exoportal,UIFatalError
exoportal,ObjectMappingException
pooka,PreviewContentPanel
argouml,UMLWizard
megamek,AttackSprite
wct,HarvestResultChain
freemind,MapView
freecol,TransactionSession
exoportal,PortletFacesData
wct,TargetGroupSchedulesReportResultSet
megamek,InfantryArchaicDaggerWeapon
jedit,ShortcutPrefixActiveEvent
checkstyle,AutomaticBean
drjava,InteractionsModel
megamek,BotClient
castor,ToStringFieldHandler
jparse,VarList
jchempaint,IChemFile
colt,ObjectListAdapter
itext,PdfA1Schema
jena,InfModelAssembler
struts,StrutsConversionErrorInterceptor
galleon,TiVo
tapestry,TapestryHibernateIntegrationTests
c_jdbc,RmiJmxClient
lucene,DocData
jext,PaletteListener
weka,EditableBayesNet
tomcat,DoubleDelegate
exoportal,util
tapestry,MethodSignature
jedit,Macro
jmeter,SamplePackage
findbugs,FatalException
tapestry,AssetSource
pmd,MainFrame
fitlibraryforfitnesse,WrongTypeForMethodException
jgrapht,CompleteGraphDemo
junit,TestSuite
weka,TempNode
jhotdraw,DOMStorableInputOutputFormat
drjava,ConcreteOpenDefDoc
lucene,FSTEnum
lucene,FreqProxTermsWriterPerField
struts,NullActionMapper
poi,SpaceType
argouml,DeploymentDiagramRenderer
jasperreports,JRFontNotFoundException
xerces,SchemaDVFactoryImpl
jruby,RubyRunnable
jena,CannotHaveRulesException
tomcat,ResourceBundleELResolver
proguard,LocalVariableTypeInfoAdder
lucene,SegmentTermEnum
weka,GUIChooser
jag,Jag2UMLGenerator
jgroups,StateOutputStream
jruby,JavaMethodOneBlock
jgroups,DefaultBundler
jmeter,AbstractTransformer
pooka,NextUnreadMessageAction
megamek,ScenarioLoader
jgraphpad,GraphOptionsMoveable
ganttproject,SwitchViewAction
c_jdbc,ControllerParser
freemind,LinkRegistryAdapter
argouml,XmiReaderEUMLImpl
castor,CastorSourceGeneratorWrapper
freemind,IconAction
wct,Mailable
struts,ELContextImpl
drjava,DragDropRowTableUI
jena,RulesetNotFoundException
james,AbstractAclCommand
megamek,AimedShotDialog
pmd,MatchesFunction
tomcat,JDBCStore
argouml,EnabledCM
heritrix,WorkQueueFrontier
xerces,CharacterBufferPool
lucene,ValueSourceScorer
mvnforum,PostBean
informa,TestCacheSettingsFM
weka,CheckSource
struts,ServletConfigInterceptor
jena,Graph
c_jdbc,ConnectionAndDatabaseMetaData
sandmark,AddBogusFields
poi,TestQuillContents
jext,LowerThanFunction
picocontainer,ProviderAdapter
colt,ChiSquare
jasperreports,JRProperties
hsqldb,TableModelHandler
rssowl,JobQueue
jext,VersionFunction
poi,AligningCells
poi,BitFieldFactory
xerces,NodeListCache
columba,AddressbookListRenderer
jext,CompleteWordList
jasperreports,ScriptletFactoryContext
jext,JextSkin
struts,TagPluginContext
jmeter,CompareAssertionResult
jena,DriverRDB
jchempaint,AddAtomModule
columba,ReplyCommandTest
poi,ExControlAtom
drjava,GlassPane
exoportal,DummyConfig
findbugs,ObligationPolicyDatabaseActionType
castor,JPAFieldAnnotationProcessingService
pooka,SectionedEditorPane
xerces,DoubleDV
poi,AxisOptionsRecord
struts,StandardTagsAction
pmd,CustomXmlTestClassMethodsRunner
jag,LibCopier
jung,LensControls
argouml,UMLModelElementStereotypeListModel
jasperreports,JRPropertiesMap
jruby,RubyClass
jena,CmdLineUtils
jmeter,AbstractSamplerGui
jruby,JavaSignatureParser
findbugs,FindBadForLoop
poi,TestTextCharsAtom
heritrix,ServerCacheTest
poi,SeriesTextRecord
findbugs,OverallClassificationFilter
jasperreports,JasperManager
jung,VisualizationListener
jmeter,DebugPostProcessorBeanInfo
jedit,BufferIORequest
lucene,OpenIndexTask
drjava,VectorAbsRelFileOptionComponent
freemind,AttributePopupMenu
argouml,UMLCallEventOperationComboBoxModel
openjms,JmsSessionStubImpl
jgroups,ConcurrentCloseTest
columba,ExtensionMetadata
columba,FolderTreeCellRenderer
freecol,CloseTransactionMessage
poi,XWPFHyperlink
aoi,MovieEncoder
jspwiki,XMLUserDatabase
freemind,PropertyBean
struts,ChatLoginAction
jhotdraw,DrawingColorChooserHandler
findbugs,TopologicalSort
hsqldb,BundleHandler
jgroups,DigestTest
javacc,CharacterRange
jung,SparseMultigraph
xerces,DecimalDV
itext,GreekList
poi,TestStylesTable
columba,ComposerModel
jfreechart,SWTPlotAppearanceEditor
poi,CellCacheEntry
jfreechart,TaskSeriesCollection
xalan,XPathProcessorException
jfreechart,RendererUtilities
jgroups,LockMultiLockedException
jgroups,RepeatingTask
heritrix,JmxUtilsTest
jasml,ExceptionTableItem
quartz,JTAJobRunShell
drjava,ButtonEditor
exoportal,ActiveDirectoryVLVUserHandler
findbugs,XFactory
tomcat,HostElement
lucene,MaxBytesLengthExceededException
jgroups,MyMarshaller
hsqldb,CodeSwitcher
picocontainer,Locked
quartz,FileScanJob
jmeter,ReportDragNDrop
exoportal,TaskListRenderer
jchempaint,Bond
pmd,SourceCodePanel
poi,HSSFPatriarch
struts,ValidateVisitor
struts,FilterDispatcherTest
freecol,TileImprovement
itext,SequenceList
poi,CalendarDemo
sunflow,SunflowAPI
exoportal,PortletDataImp
exoportal,UIVisitedPages
tomcat,SSIMediator
htmlunit,JavaScriptExecutor
weka,MyHeapElement
lucene,SegmentByteSizeDescending
jhotdraw,ChopRoundRectangleConnector
velocity,ASTObjectArray
struts,PortletResultTest
exoportal,MockCacheService
c_jdbc,RequestPlayerProperties
jfreechart,TickUnits
quartz,MailInfo
roller,AcronymsPlugin
ganttproject,TaskSelectionManager
htmlunit,HTMLTextAreaElementTest
wct,GeneralCommand
poi,TestTextObjectBaseRecord
quartz,FilterAndBroadcastTriggerListener
velocity,VelocimacroTestCase
argouml,UMLTemplateParameterTemplateListModel
jedit,TextAreaPainter
columba,MemoryMonitorThread
c_jdbc,WizardTabs
xalan,XSLTElementProcessor
roller,OldUtilities
exoportal,ShowCategoryActionListener
pmd,JspPageStyleTest
jedit,ErrorDialog
tapestry,PipelineBuilderImpl
xalan,Comment
lucene,Optimizer2
poi,VIOLET
wct,UserController
ivatagroupware,JavaMailServer
weka,OneR
log4j,TelnetAppenderTest
poi,TestUserEditAtom
jgroups,GetStateTest
ganttproject,UIConfiguration
pmd,AvoidCallingFinalize
mvnforum,MvnForumGroupXML
jedit,CloseDialog
checkstyle,ClassResolver
lucene,ClassicTokenizerImpl
hsqldb,PgType
pmd,XPathRuleTest
galleon,Photos
jgroups,Base64
jext,ArcTanFunction
xerces,XMLSimpleType
tomcat,Request
findbugs,Viewer
tapestry,SymbolSourceImplTest
openjms,SocketManagedConnection
jmoney,MT940
ivatagroupware,FindPersonAction
findbugs,ReverseDepthFirstSearchFactory
findbugs,InnerClassAccess
jmeter,HeaderPanel
pmd,ASTClassOrInterfaceType
jruby,Pack
findbugs,ObligationDataflow
htmlunit,EventTest
pmd,RuleContext
htmlunit,HtmlImageTest
freecol,FoundingFather
jruby,BasicObjectStub
columba,ShowHomepageAction
freemind,ScriptingPluginPropertyContributor
jmeter,NamePanel
tomcat,UserMBean
itext,Hyphenator
jchempaint,MMFF94BasedParameterSetReader
jext,ReadLineFunction
tomcat,EjbFactory
lucene,QueryAndLimit
jFin_DateMath,ScheduleCutter
jhotdraw,SaveFileAction
openjms,RegistryService
argouml,CoreFactoryEUMLImpl
wct,ArchiveCommand
pooka,CacheFilenameFilter
jasperreports,FooterPositionEnum
struts,DefaultStaticContentLoader
drjava,GeneralProcessCreator
jgraphpad,BarEntry
lucene,OpenTaxonomyIndexTask
tomcat,TldJarScannerCallback
aoi,CSGModeller
tomcat,AstEmpty
drawswf,LightenCompositeContext_INT_PACK
castor,XMLClassDescriptorImpl
ganttproject,ChartUIConfiguration
columba,AccountFilter
exoportal,MembershipTypeImpl
jfreechart,XYTitleAnnotation
jext,StdoutThread
fitlibraryforfitnesse,AutoWrap
tomcat,Generator
pmd,JspParserTokenManager
jasperreports,JRTemplateReference
jung,AddNodeDemo
weka,NominalToBinary
jmeter,AddParent
xalan,ExsltMath
megamek,GameBoardNewEvent
lucene,StemmerUtil
jmeter,CreateFunctionDialog
exoportal,NodeImpl
weka,SetDistributionAction
openjms,JVM
xerces,EntityImpl
castor,IDResolverImpl
jena,GraphMem
xerces,XSLoaderImpl
jedit,FilesChangedDialog
jhotdraw,ViewSourceAction
pmd,ASTPrimaryExpression
poi,SSTDeserializer
galleon,JukeboxConfiguration
megamek,ArtilleryWeaponDirectFireHandler
jmeter,MemoryBenchmark
castor,TestSimpleCondition
jspwiki,ReferenceManagerTest
jchempaint,IPMolecularLearningDescriptorTest
weka,FromFile
mvnforum,FavoriteThreadDAOImplJDBC
colt,ObjectFactory1D
xalan,DescendantTraverser
jena,ModelRDB
proguard,AnnotatedClassVisitor
fitjava,Parse
quartz,HostnameInstanceIdGenerator
quilt,GraphTransformer
pooka,SearchTermIcon
fitjava,HtmlToTextFixture
log4j,AppenderSkeleton
aoi,ParameterModule
openjms,PatternValidator
columba,EditSignatureAction
htmlunit,TestThread
rssowl,NotifierColors
jhotdraw,MessagePanel
findbugs,NumberedParagraphView
jgraph,GraphEdXMenuBar
colt,ObjectFactory2D
freecol,CaptureGoodsDialog
drjava,LoggedCondition
exoportal,TestSimpleThreadPoolService
jchempaint,AbstractRingSetTest
wct,ShowHopPathController
poi,ChartRecord
exoportal,UIInput
freemind,SouthPanel
rssowl,NewsComparator
roller,CommentsBean
freemind,ExportVectorGraphic
jena,ReificationCacheMap
xerces,XIntPool
htmlunit,WebRequest
junit,ArrayComparisonFailure
pooka,NoTrashFolderException
jchempaint,Format
ganttproject,MutationInfo
pooka,JDBCPreferences
colt,ObjectFactory3D
findbugs,ContainsCamelCaseWordStringMatcher
jasperreports,JRBaseCrosstabRowGroup
columba,ExtendableMenu
poi,RecordAggregate
tapestry,HeartbeatImplTest
jfreechart,StandardToolTipTagFragmentGenerator
tapestry,ComponentDefaultProviderImplTest
heritrix,PathDepthFilter
castor,AppInfo
jgraph,JGraphOrganicLayout
lucene,DefaultSimilarity
freecol,RebelToolTip
james,XMLResources
jung,EdgeLabelDemo
lucene,RepSumByNameRoundTask
jgroups,Task
jruby,TopSelfFactory
jext,ElementsFunction
jgraphpad,MoenLayoutAlgorithm
weka,Antd
jfreechart,DefaultKeyedValueTests
tapestry,LinkSubmit
drawswf,RemoteSaveAction
mvnforum,MemberCache
drjava,JavadocFrame
freemind,AssignAttributeDialog
megamek,DodgeAction
jgraph,OrganizationalTreeNode
argouml,LayoutHelper
argouml,TabStereotype
jchempaint,ElectronImpactPDBReaction
jmeter,WorkerImpl
sandmark,BoolSplitter
jena,NodeIteratorImpl
pooka,BounceFilterAction
fitlibraryforfitnesse,NestingListSetUpTraverse
jena,DBPrefixMappingImpl
htmlunit,HTMLAnchorElementTest
fitlibraryforfitnesse,CharPropertyEditor
hsqldb,UserTypeModifier
maven,JdkVersionProfileActivator
jedit,SelectionManager
tomcat,SocketInputBuffer
findbugs,NumberConstructor
tapestry,RequestHandler
weka,C45PruneableClassifierTree
galleon,JukeboxScreen
itext,TIFFLZWDecoder
weka,Group
xerces,XQName
jfreechart,ScatterRendererTests
argouml,FigSubsystem
jung,Graphics2DWrapper
tomcat,SocketOutputBuffer
drjava,TokensTest
mvnforum,RebuildMemberIndexTask
jasperreports,JRElementsVisitor
jasperreports,JRByteIncrementerFactory
lucene,StringHelper
jasperreports,JRBaseBreak
lucene,QueryNodeProcessorImpl
findbugs,MethodWarningSuppressor
tapestry,PropertyOrderBean
emma,PropertyElement
xalan,Step
xalan,ElemVariable
quartz,WeeklyCalendar
junit,Heading
jhotdraw,SVGCreateFromFileTool
jmeter,MessageAdmin
c_jdbc,DatabasePopUpMenu
jgroups,NAKACK_SET_DIGEST_Test
aoi,FirewallAuthenticator
jgraph,VertexRenderer
xerces,HTMLDListElementImpl
argouml,GoStateMachineToState
heritrix,Extractor
pmd,ASTConditionalAndExpression
itext,PdfResources
heritrix,TimestampSerialno
exoportal,UISimpleForm
jchempaint,SybylAtomTypeMatcherTest
aoi,NonlinearMapping2D
columba,CCheckBoxMenuItem
jedit,StandaloneTextArea
roller,DatabaseInstaller
itext,ColorDetails
freecol,DeclarationDialog
freecol,EditSettlementDialog
poi,BinaryTree
sunflow,Sample
xalan,StringBufferPool
jfreechart,XYSeriesTests
jspwiki,ListLocksPlugin
castor,BigDecimalToLong
galleon,MusicMenuScreen
jspwiki,DifferenceManager
galleon,AudioScrobblerOptionsPanel
picocontainer,CtorAndAdapters
castor,JPAOneToOneProcessor
drjava,DirectorySelectorComponent
jasperreports,BarcodeXmlWriter
tapestry,RenderQueue
jgroups,FlushHeader
jfreechart,StackedXYAreaRendererState
galleon,MusicScreen
ivatagroupware,FindMailUserAction
freecol,ReportProductionPanel
proguard,MethodImplementationTraveler
tapestry,CollectionGridDataSource
argouml,UMLComboBoxNavigator
proguard,InstructionVisitor
jruby,JavaMethodTwoOrThreeOrNBlock
aoi,ObjectTextureDialog
castor,Db2TypeMapper
ganttproject,GanttCSVExport
xalan,NodeSortRecordGenerator
colt,DenseDoubleMatrix1D
exoportal,UIProducers
weka,LayoutCompleteEvent
hsqldb,ValuePoolHashMap
jgraphpad,NamedInputStream
castor,JParameter
struts,BundleFreemarkerManager
wct,LockManager
jruby,Interpreted19Block
exoportal,GroupImpl
informa,WithChannelMIF
roller,Blacklist
megamek,Sprite
struts,WrapperClassBean
exoportal,SoftLinkValueRecord
pmd,OptimizationsRulesTest
drjava,RecursiveFileListProperty
ganttproject,GanttDialogPerson
megamek,BATaserHandler
log4j,LF5Appender
sandmark,Afs
jena,OneOrMore
freecol,ChoiceDialog
poi,EvaluationTracker
log4j,Processor
jgraph,6
weka,EdgeInfo
colt,DenseDoubleMatrix2D
xalan,OpCodes
tapestry,Palette
ganttproject,ScrollGanttChartCenterAction
ganttproject,GanttDialogCustomColumn
lucene,CategoryPath
jruby,RubyStackTraceElement
jfreechart,PeriodAxisTests
trove,MapBackedView
poi,DBCellRecord
sandmark,Inliner
jmeter,FileEntry
heritrix,OperatorHandler
poi,TestImagePainter
openjms,ConfigurationReader
drjava,BreakpointsPanel
argouml,CopyHelperEUMLImpl
colt,DenseDoubleMatrix3D
poi,CellRangeAddress8Bit
tapestry,ComponentMessagesSourceImplTest
lucene,BlockGroupingCollector
jgroups,StabilitySendTask
hsqldb,RowInputBinaryDecode
jruby,AsyncCall
findbugs,SingleFileCodeBaseEntry
htmlunit,HtmlSelectTest
tapestry,PostRenderCleanupPhase
roller,MemberEntry
tapestry,RecursiveServiceCreationCheckWrapperTest
drawswf,AffineRed
megamek,InfantryTWFlamerWeapon
xerces,XSNamedMapImpl
argouml,UMLExpressionModel2
lucene,StaleReaderException
jruby,WrapperMethod
xerces,HTMLOListElementImpl
emma,ObjectIntMap
maven,Record
tomcat,ApplicationSessionCookieConfig
jedit,BSHWhileStatement
tapestry,StrategyBuilderImplTest
axion,FilteringRowIterator
openjms,SocketRequestInfoTest
castor,HsqlGenerator
poi,NameRecord
exoportal,TextClobType
findbugs,InfiniteRecursiveLoop
jena,TokenMgrError
checkstyle,SuppressWarningsTest
proguard,GotoGotoReplacer
hsqldb,ScriptReaderDecode
lucene,NGramTokenFilter
c_jdbc,TransparentHorizontalBalancingScenario
htmlunit,DomElement
log4j,StringMatchFilter
castor,JEnumConstant
poi,RowVector
jedit,TokenMgrError
castor,UnionUnmarshaller
jgroups,UUIDCacheClearTest
struts,StrutsExecuteFilter
jfreechart,DefaultContourDataset
struts,MultipleFileUploadUsingListAction
